amount,payment_method,failure_reason,attempt_number,previous_successes,previous_failures,is_high_value,is_first_attempt,customer_success_ratio,recovered
21403.33,UPI,Technical Error,2,7,4,0,0,0.5833333333333334,0
13173.21,UPI,Network Error,3,12,1,0,0,0.8571428571428571,0
47560.34,NETBANKING,Network Error,1,12,0,1,1,0.9230769230769231,1
47103.16,WALLET,Technical Error,2,4,1,1,0,0.6666666666666666,1
5083.14,NETBANKING,Insufficient Funds,2,9,2,0,0,0.75,0
7036.23,NETBANKING,Bank Declined,2,15,0,0,0,0.9375,1
30859.79,CARD,Insufficient Funds,3,6,2,1,0,0.6666666666666666,0
32722.12,NETBANKING,Bank Declined,3,19,4,1,0,0.7916666666666666,0
42473.95,WALLET,Insufficient Funds,2,3,5,1,0,0.3333333333333333,0
13445.69,WALLET,Insufficient Funds,1,1,0,0,1,0.5,0
28765.41,NETBANKING,Insufficient Funds,3,12,3,1,0,0.75,0
5751.0,CARD,Technical Error,2,16,1,0,0,0.8888888888888888,1
32979.89,WALLET,Technical Error,1,19,4,1,1,0.7916666666666666,0
30752.8,NETBANKING,Network Error,2,9,3,1,0,0.6923076923076923,1
257.42,CARD,Technical Error,1,4,2,0,1,0.5714285714285714,0
33729.54,WALLET,Technical Error,3,15,3,1,0,0.7894736842105263,1
28989.55,WALLET,Timeout,3,17,5,1,0,0.7391304347826086,0
1332.02,CARD,Network Error,3,19,4,0,0,0.7916666666666666,1
13845.2,UPI,Technical Error,3,14,5,0,0,0.7,1
27432.07,CARD,Technical Error,1,2,2,1,1,0.4,0
33207.95,WALLET,Network Error,2,6,1,1,0,0.75,1
37190.45,CARD,Network Error,3,8,3,1,0,0.6666666666666666,1
10630.04,CARD,Timeout,3,9,2,0,0,0.75,0
18692.63,CARD,Network Error,1,14,4,0,1,0.7368421052631579,0
21017.91,CARD,Network Error,1,8,1,0,1,0.8,1
27214.7,NETBANKING,Insufficient Funds,3,1,4,1,0,0.16666666666666666,0
2752.51,WALLET,Insufficient Funds,2,14,3,0,0,0.7777777777777778,0
17669.04,NETBANKING,Insufficient Funds,3,3,3,0,0,0.42857142857142855,0
11488.57,WALLET,Network Error,3,10,2,0,0,0.7692307692307693,1
5901.16,UPI,Network Error,2,13,0,0,0,0.9285714285714286,1
1496.58,CARD,Technical Error,2,9,3,0,0,0.6923076923076923,0
33504.99,UPI,Bank Declined,3,17,5,1,0,0.7391304347826086,0
22157.41,NETBANKING,Network Error,3,3,0,0,0,0.75,0
14311.16,CARD,Technical Error,3,5,0,0,0,0.8333333333333334,1
5023.98,CARD,Network Error,3,6,0,0,0,0.8571428571428571,1
27066.7,NETBANKING,Timeout,1,3,5,1,1,0.3333333333333333,1
18838.47,WALLET,Insufficient Funds,3,7,2,0,0,0.7,0
49436.52,CARD,Bank Declined,3,4,3,1,0,0.5,0
21487.19,NETBANKING,Network Error,1,17,0,0,1,0.9444444444444444,0
25769.27,NETBANKING,Technical Error,1,1,5,1,1,0.14285714285714285,1
36827.37,WALLET,Timeout,3,18,4,1,0,0.782608695652174,1
46640.02,CARD,Insufficient Funds,1,10,2,1,1,0.7692307692307693,1
24876.86,CARD,Network Error,1,10,0,0,1,0.9090909090909091,1
43134.82,WALLET,Technical Error,3,20,1,1,0,0.9090909090909091,0
14196.77,WALLET,Insufficient Funds,1,0,5,0,1,0.0,1
10219.23,CARD,Timeout,3,7,5,0,0,0.5384615384615384,1
38621.84,WALLET,Network Error,3,8,5,1,0,0.5714285714285714,0
44212.53,UPI,Insufficient Funds,1,12,5,1,1,0.6666666666666666,1
26643.8,WALLET,Bank Declined,1,2,3,1,1,0.3333333333333333,0
40747.56,CARD,Technical Error,1,10,4,1,1,0.6666666666666666,0
42760.94,WALLET,Timeout,2,7,4,1,0,0.5833333333333334,1
18771.11,UPI,Network Error,1,8,1,0,1,0.8,1
27874.1,NETBANKING,Technical Error,2,19,0,1,0,0.95,0
43308.46,NETBANKING,Bank Declined,1,5,3,1,1,0.5555555555555556,1
44568.62,CARD,Bank Declined,1,19,1,1,1,0.9047619047619048,1
24606.45,CARD,Network Error,1,13,4,0,1,0.7222222222222222,0
1580.7,UPI,Timeout,3,1,2,0,0,0.25,0
25778.81,CARD,Network Error,1,0,1,1,1,0.0,0
13896.99,NETBANKING,Technical Error,3,15,5,0,0,0.7142857142857143,0
17636.83,NETBANKING,Timeout,3,1,3,0,0,0.2,0
28461.38,CARD,Network Error,1,7,3,1,1,0.6363636363636364,1
43605.11,CARD,Bank Declined,2,15,3,1,0,0.7894736842105263,0
26165.61,WALLET,Bank Declined,2,17,4,1,0,0.7727272727272727,0
41732.46,NETBANKING,Technical Error,3,11,2,1,0,0.7857142857142857,1
36209.68,WALLET,Insufficient Funds,3,1,0,1,0,0.5,0
5179.07,NETBANKING,Timeout,3,12,3,0,0,0.75,1
42422.35,UPI,Timeout,1,20,2,1,1,0.8695652173913043,1
14815.23,UPI,Bank Declined,3,17,5,0,0,0.7391304347826086,1
36512.36,WALLET,Bank Declined,2,13,5,1,0,0.6842105263157895,0
19779.8,UPI,Insufficient Funds,2,1,3,0,0,0.2,1
28573.05,CARD,Technical Error,3,1,3,1,0,0.2,1
48041.27,NETBANKING,Network Error,1,19,0,1,1,0.95,1
4813.06,NETBANKING,Insufficient Funds,3,3,1,0,0,0.6,0
38636.52,CARD,Network Error,3,5,4,1,0,0.5,0
49634.18,UPI,Bank Declined,2,11,3,1,0,0.7333333333333333,0
14454.16,UPI,Technical Error,3,19,5,0,0,0.76,0
27841.29,CARD,Network Error,3,4,0,1,0,0.8,1
19942.23,CARD,Timeout,3,1,4,0,0,0.16666666666666666,0
10547.05,WALLET,Timeout,3,4,1,0,0,0.6666666666666666,0
25028.32,UPI,Network Error,2,15,2,1,0,0.8333333333333334,1
8963.3,WALLET,Network Error,1,8,4,0,1,0.6153846153846154,0
28464.72,CARD,Bank Declined,3,6,5,1,0,0.5,1
29328.12,WALLET,Network Error,1,7,3,1,1,0.6363636363636364,0
39750.77,WALLET,Bank Declined,3,19,0,1,0,0.95,1
13975.96,CARD,Bank Declined,1,11,4,0,1,0.6875,0
1867.47,CARD,Network Error,1,10,5,0,1,0.625,1
22557.38,NETBANKING,Insufficient Funds,3,15,1,0,0,0.8823529411764706,0
8414.6,WALLET,Bank Declined,2,17,1,0,0,0.8947368421052632,1
41690.55,CARD,Bank Declined,1,6,1,1,1,0.75,1
14499.89,UPI,Bank Declined,3,11,0,0,0,0.9166666666666666,0
30617.3,WALLET,Insufficient Funds,2,16,1,1,0,0.8888888888888888,0
37547.29,WALLET,Insufficient Funds,3,2,4,1,0,0.2857142857142857,0
3916.69,NETBANKING,Technical Error,1,12,4,0,1,0.7058823529411765,0
6546.85,NETBANKING,Bank Declined,2,16,1,0,0,0.8888888888888888,0
39227.07,NETBANKING,Network Error,2,7,2,1,0,0.7,1
14729.93,UPI,Network Error,1,1,0,0,1,0.5,1
40664.6,NETBANKING,Network Error,1,8,5,1,1,0.5714285714285714,0
35363.33,NETBANKING,Insufficient Funds,2,20,5,1,0,0.7692307692307693,1
6150.86,NETBANKING,Bank Declined,2,18,2,0,0,0.8571428571428571,1
1769.48,NETBANKING,Bank Declined,1,1,2,0,1,0.25,0
41381.96,NETBANKING,Insufficient Funds,1,18,1,1,1,0.9,0
34197.27,UPI,Bank Declined,3,9,4,1,0,0.6428571428571429,0
45710.81,WALLET,Insufficient Funds,2,10,2,1,0,0.7692307692307693,0
42567.52,NETBANKING,Technical Error,1,19,5,1,1,0.76,1
5794.27,WALLET,Bank Declined,1,3,5,0,1,0.3333333333333333,1
9511.45,NETBANKING,Insufficient Funds,3,19,5,0,0,0.76,0
14001.5,NETBANKING,Technical Error,1,18,4,0,1,0.782608695652174,1
23301.39,WALLET,Technical Error,3,6,1,0,0,0.75,0
5167.87,CARD,Bank Declined,2,15,1,0,0,0.8823529411764706,1
13191.74,WALLET,Bank Declined,1,11,1,0,1,0.8461538461538461,0
39394.54,NETBANKING,Network Error,1,1,1,1,1,0.3333333333333333,0
39906.54,UPI,Insufficient Funds,1,4,5,1,1,0.4,0
38601.04,NETBANKING,Timeout,2,10,5,1,0,0.625,1
4282.68,UPI,Network Error,2,14,0,0,0,0.9333333333333333,1
6837.2,NETBANKING,Bank Declined,2,5,1,0,0,0.7142857142857143,0
